iso_code	continent	location	date	total_cases	new_cases	new_cases_smoothed	total_deaths	new_deaths	new_deaths_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	total_deaths_per_million	new_deaths_per_million	new_deaths_smoothed_per_million	reproduction_rate	icu_patients	icu_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million	total_tests	total_tests_per_thousand	new_tests_smoothed	new_tests_smoothed_per_thousand	positive_rate	tests_per_case	tests_units	total_vaccinations	people_vaccinated	people_fully_vaccinated	total_boosters	new_vaccinations	new_vaccinations_smoothed	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	total_boosters_per_hundred	new_vaccinations_smoothed_per_million	new_people_vaccinated_smoothed	new_people_vaccinated_smoothed_per_hundred	stringency_index	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	cardiovasc_death_rate	diabetes_prevalence	female_smokers	male_smokers	hospital_beds_per_thousand	life_expectancy	human_development_index	population	excess_mortality_cumulative_absolute	excess_mortality_cumulative	excess_mortality	excess_mortality_cumulative_per_million
DEU	Europe	Germany	2020-01-05	1	1	NA	3	3	NA	0.01	0.01	NA	0.04	0.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	237.02	46.6	21.45	15.96	45229.24	156.14	8.31	28.2	33.1	8	81.33	0.95	83369840	-760.7	-3.87	-3.87	-9.13
DEU	Europe	Germany	2020-01-06	1	0	NA	3	0	NA	0.01	0	NA	0.04	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	237.02	46.6	21.45	15.96	45229.24	156.14	8.31	28.2	33.1	8	81.33	0.95	83369840	NA	NA	NA	NA
DEU	Europe	Germany	2020-01-07	1	0	NA	3	0	NA	0.01	0	NA	0.04	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	237.02	46.6	21.45	15.96	45229.24	156.14	8.31	28.2	33.1	8	81.33	0.95	83369840	NA	NA	NA	NA
DEU	Europe	Germany	2020-01-08	1	0	NA	3	0	NA	0.01	0	NA	0.04	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	237.02	46.6	21.45	15.96	45229.24	156.14	8.31	28.2	33.1	8	81.33	0.95	83369840	NA	NA	NA	NA
DEU	Europe	Germany	2020-01-09	1	0	NA	3	0	NA	0.01	0	NA	0.04	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	237.02	46.6	21.45	15.96	45229.24	156.14	8.31	28.2	33.1	8	81.33	0.95	83369840	NA	NA	NA	NA
DEU	Europe	Germany	2020-01-10	1	0	0.14	3	0	0.43	0.01	0	0	0.04	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	237.02	46.6	21.45	15.96	45229.24	156.14	8.31	28.2	33.1	8	81.33	0.95	83369840	NA	NA	NA	NA
DEU	Europe	Germany	2020-01-11	1	0	0.14	3	0	0.43	0.01	0	0	0.04	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	237.02	46.6	21.45	15.96	45229.24	156.14	8.31	28.2	33.1	8	81.33	0.95	83369840	NA	NA	NA	NA
DEU	Europe	Germany	2020-01-12	1	0	0	3	0	0	0.01	0	0	0.04	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	237.02	46.6	21.45	15.96	45229.24	156.14	8.31	28.2	33.1	8	81.33	0.95	83369840	-1317.6	-3.33	-2.79	-15.81
DEU	Europe	Germany	2020-01-13	1	0	0	3	0	0	0.01	0	0	0.04	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	237.02	46.6	21.45	15.96	45229.24	156.14	8.31	28.2	33.1	8	81.33	0.95	83369840	NA	NA	NA	NA
DEU	Europe	Germany	2020-01-14	1	0	0	3	0	0	0.01	0	0	0.04	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	237.02	46.6	21.45	15.96	45229.24	156.14	8.31	28.2	33.1	8	81.33	0.95	83369840	NA	NA	NA	NA
